OSEBuildingID,Buildingtype,Primarypropertytype,Neighborhood,Propertygfaparking,Propertygfabuilding(S),Largestpropertyusetype,Largestpropertyusetypegfa,Energystarscore,Sourceeui(Kbtu/Sf),Siteenergyuse(Kbtu),Steamuse(Kbtu),Totalghgemissions,Ghgemissionsintensity,Latitude,Longitude,BuiltAge,avg_building,avg_floor,Allpropertynumber
59,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,0,59400,Office,34947.0,68.14306878306878,307.9,3915947.0,0.0,27.3,0.18,47.610466,-122.33795929,105,59400.0,59400.0,2
61,Residential,Low-Rise Multifamily,DOWNTOWN,0,48383,Multifamily Housing,38172.0,75.0,129.6,2953338.0,915977.0,112.06,2.19,47.60973588,-122.3403842,115,48383.0,48383.0,2
62,NonResidential,Hotel,DOWNTOWN,10043,88591,Hotel,83591.0,46.0,201.1,6175812.0,0.0,77.8,0.55,47.61229324,-122.33441925,85,98634.0,98634.0,3
65,NonResidential,Hotel,DOWNTOWN,0,71150,Hotel,41340.0,99.0,203.3,5040382.0,0.0,126.83,1.6,47.60989093,-122.3414255,30,71150.0,71150.0,4
66,NonResidential,Hotel,DOWNTOWN,0,122810,Hotel,88360.0,99.0,65.7,5086863.0,0.0,209.92,1.66,47.61155254,-122.3408486,107,122810.0,122810.0,3
67,NonResidential,Hotel,LAKE UNION,42546,70627,Not available,0.0,86.0,166.6,4988241.0,0.0,120.73,0.95,47.62037281,-122.3441465,56,113173.0,113173.0,1
68,NonResidential,Hotel,LAKE UNION,34735,115718,Hotel,107547.0,83.0,131.7,6722886.0,0.0,191.58,1.17,47.6203118,-122.3428044,15,150453.0,150453.0,2
69,NonResidential,Hotel,LAKE UNION,28200,88100,Hotel,88490.0,84.0,147.8,6014078.0,0.0,170.01,1.34,47.62021696,-122.3432115,18,116300.0,116300.0,2
70,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,36744,118858,Hotel,155602.0,81.0,108.0,6915293.0,0.0,156.59,0.88,47.62050588,-122.3596901,17,155602.0,155602.0,1
73,NonResidential,K-12 School,EAST,0,56072,K-12 School,56072.0,77.0,78.7,3106930.0,0.0,139.62,2.45,47.63445532,-122.3080163,104,56072.0,56072.0,1
77,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,44891,78051,Hotel,78051.0,94.0,135.3,5276777.0,0.0,169.49,1.29,47.62498256,-122.3445605,16,122942.0,122942.0,2
82,NonResidential,Small- and Mid-Sized Office,CENTRAL,0,54984,Office,54984.0,65.0,149.8,3504957.0,0.0,85.51,1.38,47.60841187,-122.3095441,53,54984.0,54984.0,1
86,NonResidential,Hotel,LAKE UNION,20732,63371,Hotel,63371.0,68.0,164.1,3979132.0,0.0,74.04,0.73,47.61990903,-122.3320457,7,84103.0,84103.0,2
95,NonResidential,Hotel,EAST,0,76631,Hotel,76631.0,24.0,175.0,7231928.0,0.0,255.64,3.18,47.60895788,-122.3268374,107,76631.0,76631.0,1
98,NonResidential,Retail Store,LAKE UNION,0,58320,Retail Store,72072.0,95.0,26.6,1074180.0,0.0,39.69,0.65,47.622375,-122.33805,86,58320.0,58320.0,1
100,NonResidential,Large Office,LAKE UNION,0,316306,Office,261826.0,96.0,139.3,13300859.0,0.0,131.03,0.24,47.62428336,-122.33589247,5,316306.0,316306.0,4
104,NonResidential,Other,MAGNOLIA / QUEEN ANNE,0,91213,Other,65000.0,68.14306878306878,201.2,5069854.0,1270000.0,123.28,1.18,47.62124083,-122.3534322,53,91213.0,91213.0,1
110,NonResidential,Other,MAGNOLIA / QUEEN ANNE,0,49680,Other,52000.0,68.14306878306878,102.4,2632472.0,1145000.0,96.39,1.84,47.62393635,-122.35193,53,49680.0,49680.0,1
111,NonResidential,Other,MAGNOLIA / QUEEN ANNE,0,60696,Other,108000.0,68.14306878306878,26.9,924980.0,0.0,6.45,0.04,47.62388082,-122.3499699,87,60696.0,60696.0,1
113,NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,2352,63888,Office,45900.0,68.14306878306878,244.4,4329966.0,0.0,30.19,0.17,47.623925,-122.3483417,29,66240.0,66240.0,5
115,NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,25930,50283,Office,48546.0,72.0,183.3,3303553.0,0.0,45.83,0.44,47.62038448,-122.3584269,45,76213.0,76213.0,3
116,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,36934,80804,Hotel,59976.0,52.0,186.9,5061274.0,0.0,138.68,1.07,47.62294488,-122.3571048,13,117738.0,117738.0,2
117,NonResidential,Hotel,NORTHEAST,0,50017,Hotel,50017.0,51.0,207.1,5570472.0,0.0,196.34,3.74,47.65774638,-122.3175345,53,50017.0,50017.0,2
118,Education,K-12 School,DELRIDGE,0,74468,K-12 School,74768.0,85.0,70.9,1857329.0,0.0,25.2,0.25,47.56261299,-122.3579283,16,74468.0,74468.0,1
119,NonResidential,K-12 School,EAST,0,67743,K-12 School,67743.0,43.0,74.7,2303288.0,0.0,63.95,0.86,47.6262348,-122.3081985,92,67743.0,67743.0,1
120,NonResidential,K-12 School,EAST,0,194104,K-12 School,194104.0,100.0,51.2,5889882.0,0.0,229.98,1.15,47.62595722,-122.304164,107,194104.0,194104.0,1
121,NonResidential,Small- and Mid-Sized Office,SOUTHEAST,35752,63681,Office,63681.0,71.0,218.9,4439034.0,0.0,30.95,0.12,47.58406769,-122.3012707,12,99433.0,99433.0,2
122,Education,K-12 School,SOUTHEAST,0,58933,K-12 School,60725.0,71.0,111.2,2150120.0,0.0,14.99,0.1,47.57334571,-122.2906221,24,58933.0,58933.0,1
125,Education,K-12 School,GREATER DUWAMISH,0,130862,K-12 School,132060.0,65.0,81.3,5851209.0,0.0,211.49,1.55,47.56301254,-122.3112112,58,130862.0,130862.0,1
127,Education,K-12 School,SOUTHEAST,0,59955,K-12 School,59955.0,94.0,76.3,1521329.0,0.0,15.1,0.15,47.55446464,-122.2764003,26,59955.0,59955.0,1
130,Education,K-12 School,MAGNOLIA / QUEEN ANNE,0,93218,K-12 School,93218.0,84.0,66.6,3072599.0,0.0,97.38,0.98,47.6367344,-122.3589452,51,93218.0,93218.0,1
131,NonResidential,Other,NORTHEAST,0,56521,Other,49000.0,68.14306878306878,412.9,6443260.0,0.0,44.92,0.3,47.6753048,-122.315342,74,56521.0,56521.0,1
132,NonResidential,Other,NORTHEAST,0,206934,Other,119146.0,68.14306878306878,76.5,4461969.0,0.0,139.24,0.63,47.6756688,-122.3161909,86,206934.0,206934.0,2
136,NonResidential,Hotel,NORTHWEST,0,51390,Hotel,51390.0,86.0,137.5,3864699.0,0.0,138.87,2.58,47.73127184,-122.3462382,14,51390.0,51390.0,2
137,Education,K-12 School,NORTHWEST,0,131013,K-12 School,131909.0,88.0,59.4,3939221.0,0.0,127.52,0.92,47.72465187,-122.3539331,52,131013.0,131013.0,1
138,Education,K-12 School,NORTHWEST,0,245587,K-12 School,245587.0,95.0,77.4,10444297.0,0.0,377.09,1.47,47.72595704,-122.3375948,56,245587.0,245587.0,1
139,NonResidential,Hotel,NORTHWEST,0,69138,Hotel,70609.0,75.0,104.7,3298570.0,0.0,88.4,1.16,47.72527664,-122.3410974,13,69138.0,69138.0,1
140,Education,K-12 School,LAKE UNION,0,66588,K-12 School,66588.0,75.0,95.9,2033074.0,0.0,14.17,0.08,47.65474724,-122.3490987,24,66588.0,66588.0,1
144,NonResidential,Hotel,DOWNTOWN,0,190980,Hotel,190980.0,97.0,89.9,6935723.0,0.0,150.23,0.68,47.60477066,-122.33677673,111,190980.0,190980.0,2
145,NonResidential,Other,DOWNTOWN,0,284100,Other - Entertainment/Public Assembly,189750.0,68.14306878306878,197.8,14169301.0,3123280.0,338.23,1.03,47.60810553,-122.3369663,17,284100.0,284100.0,1
148,Education,K-12 School,BALLARD,0,55513,K-12 School,57904.0,91.0,88.4,1612965.0,0.0,11.24,0.08,47.67031559,-122.3622592,24,55513.0,55513.0,1
